site,category_name,category_id
ID,Fashion Shawl,12442
ID,Women Watches,12443
ID,Women Watches,12443
ID,Knitted Shawl,12445
ID,Knitted Shawl,12445
ID,Gloves,12446
ID,Gloves,12446
ID,Analog,12448
ID,Analog,12448
ID,Digital,12449
ID,Digital,12449
ID,Men Watches,12452
ID,Men Watches,12452
ID,Knitted Gloves,12454
ID,Knitted Gloves,12454
ID,Leather Gloves,12455
ID,Leather Gloves,12455
ID,Analog,12456
ID,Analog,12456
ID,Digital,12457
ID,Digital,12457
ID,Couple Watches,12461
ID,Couple Watches,12461
ID,Analog,12462
ID,Analog,12462
ID,Watches Accessories,12463
ID,Watches Accessories,12463
ID,Men Belt,12465
ID,Men Belt,12465
ID,Strap,12466
ID,Strap,12466
ID,Battery,12467
ID,Battery,12467
ID,Women Belt,12468
ID,Women Belt,12468
ID,Case,12471
ID,Case,12471
ID,Mirrorless Camera,12472
ID,Mirrorless Camera,12472
ID,Water Tap,12486
ID,Water Tap,12486
ID,Tools,12488
ID,Tools,12488
ID,Water Pump,12489
ID,Water Pump,12489
ID,Air Pump,12490
ID,Air Pump,12490
ID,Toothpaste Dispenser,12491
ID,Toothpaste Dispenser,12491
ID,Instant Food,12561
ID,Others Instant Food,12562
ID,Instant Noodle & Pasta,12563
ID,Frozen Food,12567
ID,Others Frozen Food,12568
ID,Chunky / Big Heels,12592
ID,Chunky / Big Heels,12592
ID,Outdoor Sandals,12594
ID,Outdoor Sandals,12594
ID,Heels Boots,12595
ID,Heels Boots,12595
ID,Flat Boots,12597
ID,Flat Boots,12597
ID,Multifunctional,12598
ID,Multifunctional,12598
ID,Laptop Bag,12605
ID,Laptop Bag,12605
ID,Laptop Backpack,12607
ID,Laptop Backpack,12607
ID,Softcase Laptop,12608
ID,Softcase Laptop,12608
ID,Long Wallet,12609
ID,Long Wallet,12609
ID,Bifold Wallet,12610
ID,Bifold Wallet,12610
ID,Card Wallet,12611
ID,Card Wallet,12611
ID,Coin Purse,12612
ID,Coin Purse,12612
ID,Laptop Backpack,12617
ID,Laptop Backpack,12617
ID,Laptop Sling Bag,12619
ID,Laptop Sling Bag,12619
ID,Tote Bag,12621
ID,Tote Bag,12621
ID,Tote Bag,12622
ID,Tote Bag,12622
ID,Sports Bag,12626
ID,Sports Bag,12626
ID,Duffel Bag,12628
ID,Duffel Bag,12628
ID,Gym Bag,12629
ID,Gym Bag,12629
ID,Waist Bag,12631
ID,Waist Bag,12631
ID,Waist Bag,12632
ID,Waist Bag,12632
ID,Mito,12637
ID,Mito,12637
ID,Sony,12638
ID,Sony,12638
ID,Brandcode,12639
ID,Brandcode,12639
ID,Vivo,12640
ID,Vivo,12640
ID,Evercoss,12641
ID,Evercoss,12641
ID,Leather Case,12642
ID,Leather Case,12642
ID,Mirror Case,12643
ID,Mirror Case,12643
ID,Anti Crack Case,12644
ID,Anti Crack Case,12644
ID,Tablet Case,12645
ID,Tablet Case,12645
ID,Waterproof Case,12646
ID,Waterproof Case,12646
ID,Phone Holder,12647
ID,Phone Holder,12647
ID,BT Headset,12648
ID,BT Headset,12648
ID,Earphones,12649
ID,Earphones,12649
ID,Watch,12650
ID,Watch,12650
ID,Strap,12651
ID,Strap,12651
ID,Spare Parts,12652
ID,Spare Parts,12652
ID,Spareparts,12653
ID,Spareparts,12653
ID,Vest,12654
ID,Vest,12654
ID,Mecha Model,12657
ID,Mecha Model,12657
ID,Vehicle Model,12658
ID,Vehicle Model,12658
ID,Brickz,12659
ID,Brickz,12659
ID,Tool & Kit,12660
ID,Tool & Kit,12660
