内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9510368,193726053100,US,https://www.ebay.com/itm/Women-Casual-Midi-Dress-Pocket-Long-Sleeve-Hooded-Pullover-Sweatshirt-Jumper-Top/193726053100?hash=item2d1af8faec:g:f14AAOSwd7Rfl-t5,Women Casual Midi Dress Pocket Long Sleeve Hooded Pullover Sweatshirt Jumper Top,dynast_56,US,"US,New York,Oceanside",11,10.99-,19,64
9509875,313255040666,US,https://www.ebay.com/itm/313255040666,Women Casual Long Sleeve T Shirt Blouse Loose Pullover Tunic Tops Tee Plus Size,gljfc168,US,"US,New York,Oceanside",10,9.89-,49,106
9497583,193724779913,US,https://www.ebay.com/itm/193724779913,Women Long Sleeve Tye Die Pockets Hoodie Sweatshirt Pullover Blouse Casual Tops,dynast_56,US,"US,New York,Oceanside",13,13.19-,5,8
9462481,133475380410,US,https://www.ebay.com/itm/133475380410,Women V Neck Stretch Pajamas Nightwear Sleepwear Bodysuit Romper Shorts Lingerie,365-buy-2011,CN,"US,California",15,15.29-,5,20
9435114,313256328468,US,https://www.ebay.com/itm/313256328468,Women Round Neck Long Sleeve Sexy Stretch T Shirt Casual Loose Blouse Botton Top,gljfc168,US,"US,New York,Oceanside",11,10.99-,15,33
9511847,313229346310,US,https://www.ebay.com/itm/313229346310,Women Casual V Neck Loose Long Sleeve T Shirt Button Tunic Top Blouse Sweatshirt,gljfc168,US,"US,New York,Oceanside",13,13.19-,2,4
9511881,363102403816,US,https://www.ebay.com/itm/363102403816,Women's Leopard Print V Neck Tops Ladies Long Sleeve Loose Casual Blouse T Shirt,downlightdirect,CN,"US,CALIFORNIA",9,8.99-,0,4
9508532,313298099047,US,https://www.ebay.com/itm/313298099047,Women Bodycon Floral V Neck Casual Sexy Long Sleeve Clubwear Party Mini Dress,gljfc168,US,"US,New York,Oceanside",13,13.19-,4,15
9511882,174335400743,US,https://www.ebay.com/itm/174335400743,Women High Waist Plain Mini Skirt Shorts Flared Pleated Tennis Gym Skater Skirts,cocoskyna0,CN,"CN,Shanghai",8,7.5-,2,2
9427061,313175149598,US,https://www.ebay.com/itm/313175149598,Women Boho Floral Long V Neck Pockets Maxi Dress Party Summer Beach Sundress,gljfc168,US,"US,New York,Oceanside",11,11.4-,9,17
9505283,313322622946,US,https://www.ebay.com/itm/313322622946,Women Crew Neck Lace Long Sleeve T Shirt Loose Button Solid Blouse Casual Tops,gljfc168,US,"US,New York,Oceanside",13,13.19-,0,6
9502134,313296762284,US,https://www.ebay.com/itm/313296762284,Women Crew Neck Long Sleeve T Shirt Casual Butterfly Print Blouse Loose Fit Tops,gljfc168,US,"US,New York,Oceanside",11,10.99-,2,6
9498610,203187805964,US,https://www.ebay.com/itm/203187805964,Women's Long Sleeve Boho Blouse Holiday Floral Casual Loose V Neck T Shirt Tops,bluejaguar,CN,"US,California US",10,9.99-,2,2
9510194,184506943278,UK,https://www.ebay.co.uk/itm/184506943278,Womens Plushy Long Sleeve Bodycon Mini Dress Evening Party Sexy Ladies Dresses,sihuen-1,GB,"GB,Kilwinning",9,9.49-,8,35
9510196,224219106509,UK,https://www.ebay.co.uk/itm/224219106509,Womens Lace Mini Dress Ladies Plus Size Summer Evening Party Cocktail Size 8 -22,uktechmanialtd,GB,"GB,Rochdale",5,4.99-,4,13
9510207,293823783745,UK,https://www.ebay.co.uk/itm/293823783745,UK WOMEN'S LADIES SEXY V NECK BODYCON ZIPPER DRESS PARTY COCKTAIL EVENING PROM,naimatoutfits,GB,"GB,Leicester",10,9.99-,2,3
